What is the name of the German airline?,Lufthansa
In which European city can you find the home of Anne Frank?,Amsterdam
According to the Bible who was the first murderer?,Cain
In what year did princess diana die?,1997
What is the largest number of five digits?,99999
What is the name of the Indian holy river?,Ganges
What is the name of the network of computers from which the Internet has emerged?,Arpanet
In what year was Google launched on the web?,1998
Which unit is an indication for the sound quality of MP3?,Kbps
In computing what is Ram short for?,Random Access Memory
