Attaching to tom_reverse-proxy_1
[36mreverse-proxy_1  |[0m time="2018-04-11T12:20:59Z" level=info msg="Using TOML configuration file //traefik.toml" 
[36mreverse-proxy_1  |[0m time="2018-04-11T12:20:59Z" level=info msg="Traefik version v1.5.4 built on 2018-03-15_01:35:21PM" 
[36mreverse-proxy_1  |[0m time="2018-04-11T12:20:59Z" level=info msg="
[36mreverse-proxy_1  |[0m Stats collection is disabled.
[36mreverse-proxy_1  |[0m Help us improve Traefik by turning this feature on :)
[36mreverse-proxy_1  |[0m More details on: https://docs.traefik.io/basics/#collected-data
[36mreverse-proxy_1  |[0m " 
[36mreverse-proxy_1  |[0m time="2018-04-11T12:20:59Z" level=debug msg="Global configuration loaded {"LifeCycle":{"RequestAcceptGraceTimeout":0,"GraceTimeOut":10000000000},"GraceTimeOut":0,"Debug":false,"CheckNewVersion":true,"SendAnonymousUsage":false,"AccessLogsFile":"","AccessLog":null,"TraefikLogsFile":"","TraefikLog":null,"LogLevel":"DEBUG","EntryPoints":{"http":{"Network":"","Address":":80","TLS":null,"Redirect":{"entryPoint":"https"},"Auth":null,"WhitelistSourceRange":null,"Compress":false,"ProxyProtocol":null,"ForwardedHeaders":{"Insecure":true,"TrustedIPs":null}},"https":{"Network":"","Address":":443","TLS":{"MinVersion":"","CipherSuites":null,"Certificates":null,"ClientCAFiles":null,"ClientCA":{"Files":null,"Optional":false}},"Redirect":null,"Auth":null,"WhitelistSourceRange":null,"Compress":false,"ProxyProtocol":null,"ForwardedHeaders":{"Insecure":true,"TrustedIPs":null}},"traefik":{"Network":"","Address":":8080","TLS":null,"Redirect":null,"Auth":null,"WhitelistSourceRange":null,"Compress":false,"ProxyProtocol":null,"ForwardedHeaders":{"Insecure":true,"TrustedIPs":null}}},"Cluster":null,"Constraints":[],"ACME":{"Email":"contact@zeodine.fr","Domains":null,"Storage":"/acme.json","StorageFile":"","OnDemand":false,"OnHostRule":true,"CAServer":"https://acme-staging.api.letsencrypt.org/directory","EntryPoint":"https","DNSChallenge":null,"HTTPChallenge":{"EntryPoint":"http"},"DNSProvider":"","DelayDontCheckDNS":0,"ACMELogging":false,"TLSConfig":null},"DefaultEntryPoints":["https","http"],"ProvidersThrottleDuration":2000000000,"MaxIdleConnsPerHost":200,"IdleTimeout":0,"InsecureSkipVerify":false,"RootCAs":null,"Retry":null,"HealthCheck":{"Interval":30000000000},"RespondingTimeouts":null,"ForwardingTimeouts":null,"Web":null,"Docker":{"Watch":true,"Filename":"","Constraints":null,"Trace":false,"DebugLogGeneratedTemplate":false,"Endpoint":"unix:///var/run/docker.sock","Domain":"","TLS":null,"ExposedByDefault":true,"UseBindPortIP":false,"SwarmMode":false},"File":null,"Marathon":null,"Consul":null,"ConsulCatalog":null,"Etcd":null,"Zookeeper":null,"Boltdb":null,"Kubernetes":null,"Mesos":null,"Eureka":null,"ECS":null,"Rancher":null,"DynamoDB":null,"ServiceFabric":null,"Rest":null,"API":{"EntryPoint":"traefik","Dashboard":true,"Debug":false,"CurrentConfigurations":null,"Statistics":null},"Metrics":null,"Ping":null}" 
[36mreverse-proxy_1  |[0m time="2018-04-11T12:20:59Z" level=info msg="Preparing server https &{Network: Address::443 TLS:0xc420664100 Redirect:<nil> Auth:<nil> WhitelistSourceRange:[] Compress:false ProxyProtocol:<nil> ForwardedHeaders:0xc4205ede20} with readTimeout=0s writeTimeout=0s idleTimeout=3m0s" 
[36mreverse-proxy_1  |[0m time="2018-04-11T12:21:00Z" level=info msg="Loading ACME Account..." 
[36mreverse-proxy_1  |[0m time="2018-04-11T12:21:00Z" level=info msg="Loaded ACME config from store /acme.json" 
